metric,trash,trash,trash,zero_freq,zero_freq,zero_freq,in_prompt,in_prompt,in_prompt
lens,logit,released-J,released-R,logit,released-J,released-R,logit,released-J,released-R
layer,,,,,,,,,
0,0.5706849315068493,0.20328767123287672,0.143013698630137,0.2641095890410959,0.5893150684931507,0.9317808219178082,0.15698630136986302,0.01643835616438356,0.004383561643835616
1,0.2621917808219178,0.14712328767123287,0.17232876712328768,0.4084931506849315,0.6364383561643836,0.9356164383561644,0.13972602739726028,0.015068493150684932,0.00821917808219178
2,0.2136986301369863,0.15369863013698631,0.18684931506849314,0.4482191780821918,0.6353424657534247,0.8175342465753425,0.07041095890410959,0.01863013698630137,0.010958904109589041
3,0.12575342465753425,0.11808219178082192,0.19726027397260273,0.6104109589041096,0.5945205479452055,0.8112328767123288,0.05013698630136986,0.019452054794520546,0.01315068493150685
4,0.09972602739726028,0.1063013698630137,0.18301369863013697,0.633972602739726,0.5712328767123288,0.7865753424657534,0.03232876712328767,0.02054794520547945,0.013424657534246575
5,0.09150684931506849,0.10191780821917808,0.1232876712328767,0.6158904109589041,0.5293150684931507,0.7627397260273973,0.023561643835616437,0.02,0.00684931506849315
6,0.09013698630136986,0.06767123287671233,0.08191780821917809,0.6835616438356165,0.5035616438356164,0.5887671232876712,0.022465753424657533,0.018904109589041096,0.01863013698630137
7,0.09780821917808219,0.08493150684931507,0.09671232876712328,0.6926027397260274,0.5068493150684932,0.5909589041095891,0.015616438356164384,0.02273972602739726,0.02054794520547945
8,0.07835616438356165,0.1,0.09753424657534246,0.7526027397260274,0.5334246575342466,0.5863013698630137,0.008767123287671232,0.02219178082191781,0.021095890410958905
9,0.13150684931506848,0.10027397260273972,0.09205479452054795,0.7263013698630137,0.549041095890411,0.5786301369863014,0.00684931506849315,0.026575342465753424,0.027945205479452055
10,0.11726027397260275,0.07671232876712329,0.06986301369863014,0.7961643835616439,0.583013698630137,0.5397260273972603,0.008493150684931507,0.030410958904109588,0.03671232876712329
11,0.10054794520547945,0.07808219178082192,0.06164383561643835,0.8032876712328767,0.5712328767123288,0.553972602739726,0.005479452054794521,0.03095890410958904,0.02958904109589041
12,0.14684931506849316,0.08794520547945206,0.07041095890410959,0.8336986301369863,0.566027397260274,0.5180821917808219,0.00410958904109589,0.030684931506849315,0.0326027397260274
13,0.1241095890410959,0.11123287671232877,0.07945205479452055,0.7816438356164384,0.538082191780822,0.4641095890410959,0.004931506849315068,0.03397260273972603,0.03452054794520548
14,0.14246575342465753,0.1482191780821918,0.1073972602739726,0.804931506849315,0.5331506849315069,0.47315068493150686,0.004931506849315068,0.03643835616438356,0.0410958904109589
15,0.12465753424657534,0.21780821917808219,0.13232876712328767,0.8383561643835616,0.4808219178082192,0.4367123287671233,0.003561643835616438,0.03671232876712329,0.03890410958904109
16,0.13479452054794522,0.36767123287671233,0.21287671232876712,0.8495890410958904,0.42547945205479454,0.3821917808219178,0.003561643835616438,0.03643835616438356,0.03917808219178082
17,0.0852054794520548,0.34493150684931506,0.24767123287671233,0.8758904109589041,0.4484931506849315,0.3956164383561644,0.0038356164383561643,0.038082191780821915,0.04465753424657534
18,0.18273972602739727,0.5457534246575343,0.43726027397260275,0.793972602739726,0.2854794520547945,0.30164383561643837,0.005479452054794521,0.05917808219178082,0.052876712328767124
19,0.11561643835616438,0.4534246575342466,0.27123287671232876,0.8161643835616438,0.2915068493150685,0.23863013698630137,0.015342465753424657,0.046027397260273974,0.0715068493150685
20,0.13479452054794522,0.4315068493150685,0.28328767123287674,0.8243835616438356,0.2441095890410959,0.22246575342465755,0.011506849315068493,0.05589041095890411,0.10301369863013699
21,0.09780821917808219,0.3701369863013699,0.2589041095890411,0.8197260273972603,0.24602739726027398,0.2452054794520548,0.012876712328767123,0.06657534246575343,0.0958904109589041
22,0.08164383561643836,0.24164383561643835,0.1756164383561644,0.6786301369863014,0.3052054794520548,0.2893150684931507,0.019452054794520546,0.06739726027397261,0.07808219178082192
23,0.06657534246575343,0.19342465753424656,0.1410958904109589,0.7534246575342466,0.2756164383561644,0.24712328767123287,0.023013698630136987,0.09698630136986301,0.12219178082191781
24,0.047397260273972605,0.12027397260273973,0.10931506849315069,0.7046575342465753,0.2997260273972603,0.28986301369863016,0.03232876712328767,0.11342465753424658,0.12767123287671234
25,0.03863013698630137,0.05780821917808219,0.057534246575342465,0.6095890410958904,0.3263013698630137,0.3010958904109589,0.057534246575342465,0.1663013698630137,0.17205479452054795
26,0.04821917808219178,0.06602739726027397,0.07041095890410959,0.47698630136986303,0.4021917808219178,0.3789041095890411,0.07287671232876712,0.14356164383561643,0.1578082191780822
27,0.03726027397260274,0.05041095890410959,0.05835616438356164,0.6282191780821917,0.3473972602739726,0.3372602739726027,0.09945205479452054,0.18191780821917808,0.18712328767123287
28,0.028219178082191782,0.047397260273972605,0.0547945205479452,0.6063013698630138,0.3186301369863014,0.3052054794520548,0.1010958904109589,0.1967123287671233,0.20794520547945206
29,0.04794520547945205,0.06904109589041096,0.08410958904109589,0.541095890410959,0.32767123287671235,0.3082191780821918,0.11972602739726028,0.17726027397260274,0.17643835616438355
30,0.10575342465753425,0.10575342465753425,0.10575342465753425,0.24767123287671233,0.24767123287671233,0.24767123287671233,0.18602739726027398,0.18602739726027398,0.18602739726027398
